# groups
group	team_id	team_name_en	code
H	29		ESP
H	30		CPV
H	31		KSA
78	0	0	R32	06/30/2026 12:00	4	r32			Runner-up Group E	Runner-up Group I
79	0	0	R32	06/30/2026 19:00	1	r32			Winner Group A	3rd Group C/E/F/H/I
80	0	0	R32	07/01/2026 12:00	7	r32			Winner Group L	3rd Group E/H/I/J/K
81	0	0	R32	07/01/2026 17:00	15	r32			Winner Group D	3rd Group B/E/F/I/J
82	0	0	R32	07/01/2026 13:00	14	r32			Winner Group G	3rd Group A/E/H/I/J
83	0	0	R32	07/02/2026 19:00	12	r32			Runner-up Group K	Runner-up Group L
84	0	0	R32	07/02/2026 12:00	16	r32			Winner Group H	Runner-up Group J
85	0	0	R32	07/02/2026 20:00	13	r32			Winner Group B	3rd Group E/F/G/I/J
86	0	0	R32	07/03/2026 18:00	8	r32			Winner Group J	Runner-up Group H
87	0	0	R32	07/03/2026 20:30	6	r32			Winner Group K	3rd Group D/E/I/J/L
88	0	0	R32	07/03/2026 13:00	4	r32			Runner-up Group D	Runner-up Group G
89	0	0	R16	07/04/2026 17:00	10	r16			Winner Match 74	Winner Match 77
90	0	0	R16	07/04/2026 12:00	5	r16			Winner Match 73	Winner Match 75
91	0	0	R16	07/05/2026 16:00	11	r16			Winner Match 76	Winner Match 78
92	0	0	R16	07/05/2026 18:00	1	r16			Winner Match 79	Winner Match 80
93	0	0	R16	07/06/2026 14:00	4	r16			Winner Match 83	Winner Match 84
94	0	0	R16	07/06/2026 17:00	14	r16			Winner Match 81	Winner Match 82
95	0	0	R16	07/07/2026 12:00	7	r16			Winner Match 86	Winner Match 88
96	0	0	R16	07/07/2026 13:00	13	r16			Winner Match 85	Winner Match 87
97	0	0	QF	07/09/2026 16:00	9	qf			Winner Match 89	Winner Match 90
98	0	0	QF	07/10/2026 12:00	16	qf			Winner Match 93	Winner Match 94
99	0	0	QF	07/11/2026 17:00	8	qf			Winner Match 91	Winner Match 92
100	0	0	QF	07/11/2026 20:00	6	qf			Winner Match 95	Winner Match 96
101	0	0	SF	07/14/2026 14:00	4	sf			Winner Match 97	Winner Match 98
102	0	0	SF	07/15/2026 15:00	7	sf			Winner Match 99	Winner Match 100
103	0	0	3RD	07/18/2026 17:00	8	third			Loser Match 101	Loser Match 102
104	0	0	FINAL	07/19/2026 15:00	11	final			Winner Match 101	Winner Match 102
